# target	var1	var2	var3	var4	correct
Pictures\O.Fb1.2213.bmp	Pictures\O.Fb1.2213.bmp	Pictures\O.Fb1.2212.bmp	Pictures\O.Fb1.2133.bmp	Pictures\O.Fb1.3123.bmp	1
Pictures\O.Fb4.1132.bmp	Pictures\O.Fb4.2122.bmp	Pictures\O.Fb4.3212.bmp	Pictures\O.Fb4.1133.bmp	Pictures\O.Fb4.1132.bmp	4
Pictures\O.Fa1.1332.bmp	Pictures\O.Fa1.3132.bmp	Pictures\O.Fa1.1332.bmp	Pictures\O.Fa1.1333.bmp	Pictures\O.Fa1.2212.bmp	2
Pictures\O.Fc4.3113.bmp	Pictures\O.Fc4.1133.bmp	Pictures\O.Fc4.3113.bmp	Pictures\O.Fc4.1223.bmp	Pictures\O.Fc4.3213.bmp	2
Pictures\O.Fc1.1122.bmp	Pictures\O.Fc1.1232.bmp	Pictures\O.Fc1.1322.bmp	Pictures\O.Fc1.2232.bmp	Pictures\O.Fc1.1122.bmp	4
Pictures\O.Fc1.2311.bmp	Pictures\O.Fc1.2311.bmp	Pictures\O.Fc1.3311.bmp	Pictures\O.Fc1.3231.bmp	Pictures\O.Fc1.1331.bmp	1
Pictures\O.Fb2.2123.bmp	Pictures\O.Fb2.2121.bmp	Pictures\O.Fb2.2123.bmp	Pictures\O.Fb2.1213.bmp	Pictures\O.Fb2.2213.bmp	2
Pictures\O.Fb2.1121.bmp	Pictures\O.Fb2.2211.bmp	Pictures\O.Fb2.3121.bmp	Pictures\O.Fb2.1121.bmp	Pictures\O.Fb2.2131.bmp	3
Pictures\O.Fc3.1113.bmp	Pictures\O.Fc3.1333.bmp	Pictures\O.Fc3.1123.bmp	Pictures\O.Fc3.2233.bmp	Pictures\O.Fc3.1113.bmp	4
Pictures\O.Fb4.2333.bmp	Pictures\O.Fb4.2333.bmp	Pictures\O.Fb4.1323.bmp	Pictures\O.Fb4.2323.bmp	Pictures\O.Fb4.3113.bmp	1
Pictures\O.Fa3.3231.bmp	Pictures\O.Fa3.1321.bmp	Pictures\O.Fa3.3231.bmp	Pictures\O.Fa3.2211.bmp	Pictures\O.Fa3.3211.bmp	2
Pictures\O.Fc3.2133.bmp	Pictures\O.Fc3.2233.bmp	Pictures\O.Fc3.2213.bmp	Pictures\O.Fc3.1313.bmp	Pictures\O.Fc3.2133.bmp	4
Pictures\O.Fb4.1323.bmp	Pictures\O.Fb4.1323.bmp	Pictures\O.Fb4.1223.bmp	Pictures\O.Fb4.2213.bmp	Pictures\O.Fb4.1133.bmp	1
Pictures\O.Fb3.1233.bmp	Pictures\O.Fb3.1233.bmp	Pictures\O.Fb3.1313.bmp	Pictures\O.Fb3.2323.bmp	Pictures\O.Fb3.3233.bmp	1
Pictures\O.Fa2.2113.bmp	Pictures\O.Fa2.1213.bmp	Pictures\O.Fa2.2112.bmp	Pictures\O.Fa2.2113.bmp	Pictures\O.Fa2.1323.bmp	3
Pictures\O.Fb1.2212.bmp	Pictures\O.Fb1.1132.bmp	Pictures\O.Fb1.2212.bmp	Pictures\O.Fb1.1312.bmp	Pictures\O.Fb1.2112.bmp	2
Pictures\O.Fb3.2333.bmp	Pictures\O.Fb3.2333.bmp	Pictures\O.Fb3.1223.bmp	Pictures\O.Fb3.3313.bmp	Pictures\O.Fb3.3333.bmp	1
Pictures\O.Fc1.3211.bmp	Pictures\O.Fc1.2311.bmp	Pictures\O.Fc1.3213.bmp	Pictures\O.Fc1.3211.bmp	Pictures\O.Fc1.1131.bmp	3
Pictures\O.Fb4.1222.bmp	Pictures\O.Fb4.2332.bmp	Pictures\O.Fb4.1122.bmp	Pictures\O.Fb4.2212.bmp	Pictures\O.Fb4.1222.bmp	4
