# target	var1	var2	var3	var4	correct
Pictures\O.Fb1.1233.bmp	Pictures\O.Fb1.1123.bmp	Pictures\O.Fb1.1233.bmp	Pictures\O.Fb1.3233.bmp	Pictures\O.Fb1.3123.bmp	2
Pictures\O.Fa2.1331.bmp	Pictures\O.Fa2.1221.bmp	Pictures\O.Fa2.1331.bmp	Pictures\O.Fa2.1333.bmp	Pictures\O.Fa2.2221.bmp	2
Pictures\O.Fc2.3212.bmp	Pictures\O.Fc2.1322.bmp	Pictures\O.Fc2.3211.bmp	Pictures\O.Fc2.3122.bmp	Pictures\O.Fc2.3212.bmp	4
Pictures\O.Fc1.1123.bmp	Pictures\O.Fc1.2233.bmp	Pictures\O.Fc1.1223.bmp	Pictures\O.Fc1.2223.bmp	Pictures\O.Fc1.1123.bmp	4
Pictures\O.Fb1.1323.bmp	Pictures\O.Fb1.2133.bmp	Pictures\O.Fb1.3323.bmp	Pictures\O.Fb1.1323.bmp	Pictures\O.Fb1.1213.bmp	3
Pictures\O.Fb4.3111.bmp	Pictures\O.Fb4.3321.bmp	Pictures\O.Fb4.3111.bmp	Pictures\O.Fb4.1111.bmp	Pictures\O.Fb4.2221.bmp	2
Pictures\O.Fb3.1112.bmp	Pictures\O.Fb3.1112.bmp	Pictures\O.Fb3.1113.bmp	Pictures\O.Fb3.3312.bmp	Pictures\O.Fb3.3232.bmp	1
Pictures\O.Fb1.1311.bmp	Pictures\O.Fb1.1211.bmp	Pictures\O.Fb1.3211.bmp	Pictures\O.Fb1.1311.bmp	Pictures\O.Fb1.2131.bmp	3
Pictures\O.Fa2.2233.bmp	Pictures\O.Fa2.2233.bmp	Pictures\O.Fa2.2323.bmp	Pictures\O.Fa2.2231.bmp	Pictures\O.Fa2.3123.bmp	1
Pictures\O.Fa2.2123.bmp	Pictures\O.Fa2.2123.bmp	Pictures\O.Fa2.1223.bmp	Pictures\O.Fa2.1213.bmp	Pictures\O.Fa2.2223.bmp	1
Pictures\O.Fa4.1312.bmp	Pictures\O.Fa4.3312.bmp	Pictures\O.Fa4.1312.bmp	Pictures\O.Fa4.3332.bmp	Pictures\O.Fa4.3232.bmp	2
Pictures\O.Fc1.1332.bmp	Pictures\O.Fc1.3322.bmp	Pictures\O.Fc1.2112.bmp	Pictures\O.Fc1.1332.bmp	Pictures\O.Fc1.1333.bmp	3
Pictures\O.Fc4.2233.bmp	Pictures\O.Fc4.2133.bmp	Pictures\O.Fc4.1323.bmp	Pictures\O.Fc4.2233.bmp	Pictures\O.Fc4.3223.bmp	3
Pictures\O.Fa3.2222.bmp	Pictures\O.Fa3.1312.bmp	Pictures\O.Fa3.2222.bmp	Pictures\O.Fa3.2221.bmp	Pictures\O.Fa3.2112.bmp	2
Pictures\O.Fa2.2123.bmp	Pictures\O.Fa2.3233.bmp	Pictures\O.Fa2.2113.bmp	Pictures\O.Fa2.3323.bmp	Pictures\O.Fa2.2123.bmp	4
Pictures\O.Fc3.1133.bmp	Pictures\O.Fc3.3223.bmp	Pictures\O.Fc3.1133.bmp	Pictures\O.Fc3.1132.bmp	Pictures\O.Fc3.1213.bmp	2
Pictures\O.Fc3.2323.bmp	Pictures\O.Fc3.3323.bmp	Pictures\O.Fc3.2323.bmp	Pictures\O.Fc3.1313.bmp	Pictures\O.Fc3.1233.bmp	2
Pictures\O.Fc3.2321.bmp	Pictures\O.Fc3.1231.bmp	Pictures\O.Fc3.2311.bmp	Pictures\O.Fc3.2231.bmp	Pictures\O.Fc3.2321.bmp	4
Pictures\O.Fa4.1212.bmp	Pictures\O.Fa4.1212.bmp	Pictures\O.Fa4.1112.bmp	Pictures\O.Fa4.1332.bmp	Pictures\O.Fa4.2322.bmp	1
Pictures\O.Fc2.3323.bmp	Pictures\O.Fc2.3333.bmp	Pictures\O.Fc2.1233.bmp	Pictures\O.Fc2.2333.bmp	Pictures\O.Fc2.3323.bmp	4
Pictures\O.Fc1.2333.bmp	Pictures\O.Fc1.1213.bmp	Pictures\O.Fc1.2333.bmp	Pictures\O.Fc1.3333.bmp	Pictures\O.Fc1.2213.bmp	2
Pictures\O.Fc4.1312.bmp	Pictures\O.Fc4.3312.bmp	Pictures\O.Fc4.1122.bmp	Pictures\O.Fc4.3222.bmp	Pictures\O.Fc4.1312.bmp	4
Pictures\O.Fa1.2111.bmp	Pictures\O.Fa1.3111.bmp	Pictures\O.Fa1.2111.bmp	Pictures\O.Fa1.3131.bmp	Pictures\O.Fa1.3221.bmp	2
Pictures\O.Fa3.1213.bmp	Pictures\O.Fa3.1113.bmp	Pictures\O.Fa3.3233.bmp	Pictures\O.Fa3.3133.bmp	Pictures\O.Fa3.1213.bmp	4
